patrick-beverley,2019,2018-19,11.2,7.3,5.6,56.1,32.7,9.3,13.2,9.6,2019-20,12.1,7.9,5.5,56.0,30.0,10.8,14.4,10.3
paul-george,2021,2020-21,27.7,7.9,6.2,59.8,18.5,11.8,29.8,0.2,2021-22,28.0,7.9,6.5,53.8,17.5,12.6,33.0,0.2
paul-millsap,2021,2020-21,17.3,9.0,3.4,56.5,16.5,8.6,18.6,0.2,2021-22,6.25,4.7,0.95,24.95,5.45,8.7,8.25,8.3
reggie-jackson,2021,2020-21,18.5,5.0,5.3,57.6,22.8,8.2,20.2,0.1,2021-22,21.6,4.6,6.1,48.8,19.7,9.5,27.2,0.1
robert-covington,2018,2017-18,15.9,6.8,2.5,56.3,13.2,10.7,16.5,9.2,2018-19,8.35,3.3,0.85,29.0,4.85,3.8,8.1,4.25
robin-lopez,2021,2020-21,19.0,8.0,1.6,66.1,8.9,12.2,16.3,0.2,2021-22,16.6,8.2,3.5,57.0,16.8,13.7,18.4,0.2
rudy-gay,2021,2020-21,21.1,8.9,2.6,53.2,10.7,7.9,22.7,0.2,2021-22,17.2,9.3,2.2,53.9,10.8,9.1,18.7,0.2
rudy-gobert,2021,2020-21,18.6,17.6,1.6,68.3,9.4,12.4,16.4,0.4,2021-22,19.4,18.3,1.4,73.2,8.1,13.3,16.1,0.4
russell-westbrook,2018,2017-18,27.8,11.0,11.3,52.4,26.1,12.1,35.7,15.3,2018-19,25.5,12.3,11.9,50.1,28.2,11.7,33.4,15.8
serge-ibaka,2020,2019-20,22.8,12.2,2.1,58.3,8.5,12.0,23.0,16.1,2020-21,19.0,11.5,3.1,58.5,14.6,8.7,19.6,0.3
seth-curry,2019,2018-19,16.6,3.4,1.9,59.5,10.7,9.9,16.4,4.6,2019-20,20.1,3.7,3.1,64.3,15.4,7.7,18.5,4.8
spencer-dinwiddie,2021,2020-21,12.5,8.1,5.6,53.6,27.6,15.3,16.6,0.2,2021-22,11.15,2.2,2.75,31.2,10.9,3.75,11.15,3.9
stephen-curry,2017,2016-17,30.3,5.4,7.9,62.4,22.2,10.1,29.5,7.3,2017-18,33.0,6.4,7.6,67.5,21.2,10.5,30.0,9.0
steven-adams,2021,2020-21,10.9,12.8,2.8,59.6,20.0,14.0,11.9,0.3,2021-22,10.6,15.2,5.1,56.0,30.4,13.6,13.1,0.3
