Name,Point40Before,Point40After,Point40Change,Rebound40Before,Rebound40After,Rebound40Change,Assist40Before,Assist40After,Assist40Change,USGBefore,USGAfter,USGChange,ContractYear,ContractTotal,AveragePay,ContractLength,LargeContract,SeaonsLength,PerformanceBefore,PerformanceAfter,changePerformance,ChangeTeam
Kevon Looney,13.5,10.4,3.1,11.3,10.1,1.2,3.3,3.1,0.2,13,15.7,-2.7,2019,"14,464,287.00","4,821,429.00",3,0,6,17.4,13.6,-3.8,0
Khris Middleton,23.5,28,-4.5,7.7,8.2,-0.5,5.5,5.7,-0.2,25.1,26.3,-1.2,2019,"177,500,000.00","35,500,000.00",5,1,9,16.5,21.1,4.6,1
Klay Thompson,25.3,27.7,-2.4,4.5,5.3,-0.8,2.8,3.7,-0.9,24.7,28.3,-3.6,2019,"189,903,600.00","37,980,720.00",5,1,10,16.6,16.7,0.1,1
Kristaps Porzingis,28,25.7,2.3,8.1,11.9,-3.8,1.5,2.2,-0.7,29,26.3,2.7,2019,"158,253,000.00","31,650,600.00",5,1,5,20.4,20.1,-0.3,0
Kyle Anderson,11.8,10.8,1,8,7.8,0.2,4.1,4,0.1,13.8,13.1,0.7,2018,"37,156,300.00","9,289,075.00",4,1,6,15.9,12.8,-3.1,1
Kyle Kuzma,17.9,20.5,-2.6,8.5,10.2,-1.7,2.6,4.2,-1.6,19.7,23.5,-3.8,2021,"39,000,000.00","13,000,000.00",3,0,4,12.8,15.2,2.4,0
Kyle Lowry,19.8,15.8,4,6.2,5.3,0.9,8.4,8.9,-0.5,22.6,19.8,2.8,2021,"85,000,002.00","28,333,334.00",3,0,15,16.5,15,-1.5,1
Kyrie Irving,28.8,33.3,-4.5,6.1,6.3,-0.2,8.4,7.8,0.6,30.4,33.3,-2.9,2019,"136,490,600.00","34,122,650.00",4,1,10,24.3,26.2,1.9,0
LaMarcus Aldridge,9.85,23.1,-13.25,3.7,9.8,-6.1,2,1.6,0.4,9.75,21.1,-11.35,2021,"2,641,691.00","2,641,691.00",1,0,15,16.5,19.6,3.1,1
Larry Nance Jr.,14,15.3,-1.3,12.3,11.1,1.2,3.3,3.9,-0.6,15.6,14.4,1.2,2019,"44,800,000.00","11,200,000.00",4,1,6,18.6,17.4,-1.2,0
Lebron James,29.9,32.5,-2.6,9.2,8.8,0.4,9.3,6.7,2.6,32.6,31.7,0.9,2021,"85,655,532.00","42,827,766.00",2,0,18,24.2,26.2,2,1
Lonzo Ball,18.4,15,3.4,6,6.3,-0.3,7.2,5.9,1.3,21.7,17.7,4,2021,"80,000,000.00","20,000,000.00",4,1,4,15.2,14.5,-0.7,0
Lou Williams,9.45,17.7,-8.25,2,4.4,-2.4,3.2,5.3,-2.1,12.4,21.8,-9.4,2021,"5,000,000.00","5,000,000.00",1,0,16,13.5,12.1,-1.4,0
Malik Beasley,12.55,23.9,-11.35,3.05,5.3,-2.25,1.15,2.9,-1.75,10.25,23.3,-13.05,2020,"60,000,000.00","15,000,000.00",4,1,6,13.4,14.7,1.3,1
Marcus Morris Sr.,14,20.4,-6.4,5.7,6.2,-0.5,2,1.5,0.5,15.6,19.1,-3.5,2020,"64,000,000.00","16,000,000.00",4,1,10,9,14.5,5.5,0
Marcus Smart,13.6,12.9,0.7,4.7,4.3,0.4,6.4,5.8,0.6,19.8,15.6,4.2,2018,"51,999,900.00","12,999,975.00",4,1,7,10.8,13.2,2.4,0
Mason Plumlee,16.5,15.5,1,12,13.8,-1.8,5.8,5.4,0.4,19.1,17,2.1,2020,"24,662,500.00","8,220,833.33",3,0,8,18.9,18.7,-0.2,1
Mike Conley,22.1,19.2,2.9,4.7,4.2,0.5,8.1,7.5,0.6,24.3,21.9,2.4,2021,"68,040,000.00","22,680,000.00",3,0,14,19.3,17.3,-2,0
Montrezl Harrell,26.8,23.6,3.2,10.2,10.8,-0.6,2.4,1.8,0.6,25.1,20.7,4.4,2020,"18,978,900.00","9,489,450.00",2,0,6,23.3,22.8,-0.5,1
Myles Turner,18.6,16.4,2.2,10,8.9,1.1,2.2,1.6,0.6,19.4,17.1,2.3,2019,"80,000,000.00","20,000,000.00",4,1,6,18.1,14.9,-3.2,0
Nicolas Batum,11.8,13.4,-1.6,6.9,6.9,0,3.2,2.7,0.5,12,13.1,-1.1,2021,"6,498,559.00","3,249,279.50",2,0,13,12.9,13.5,0.6,0
Nikola Jokic,22.7,25.6,-2.9,13.2,13.8,-0.6,7.5,9.3,-1.8,24.9,29.4,-4.5,2018,"147,710,050.00","29,542,010.00",5,1,6,24.4,26.3,1.9,1
Nikola Vucevic,26.5,24.3,2.2,15.3,13.5,1.8,4.9,4.4,0.5,27.9,25.9,2,2019,"100,000,000.00","25,000,000.00",4,1,10,25.5,21.9,-3.6,0
Norman Powell,9.9,17.1,-7.2,1.9,2.25,-0.35,1.1,2.25,-1.15,9.95,14.45,-4.5,2021,"90,000,000.00","18,000,000.00",5,1,6,16,21.3,5.3,1
P.J. Tucker,5.2,10.9,-5.7,5.6,7.8,-2.2,1.6,3,-1.4,5.9,11.8,-5.9,2021,"14,350,000.00","7,175,000.00",2,0,10,5.6,11.35,5.75,1
Pascal Siakam,26,23.8,2.2,8.3,8.1,0.2,3.9,5,-1.1,27.4,26,1.4,2020,"136,905,216.00","34,226,304.00",4,1,4,18,17.8,-0.2,0
Pat Connaughton,11.6,11.9,-0.3,9.1,8.4,0.7,3.4,2.1,1.3,12.5,11.5,1,2020,"16,000,000.00","5,333,333.33",3,0,4,11.6,11.3,-0.3,0
Patrick Beverley,11.2,12.1,-0.9,7.3,7.9,-0.6,5.6,5.5,0.1,13.2,14.4,-1.2,2019,"40,000,000.00","13,333,333.33",3,0,9,11.8,12.5,0.7,1
Patrick Mills,17.5,15.7,1.8,2.8,2.7,0.1,3.8,3.1,0.7,18.2,16.1,2.1,2021,"12,074,500.00","6,037,250.00",2,0,11,11.9,10.4,-1.5,1
Paul George,27.7,28,-0.3,7.9,7.9,0,6.2,6.5,-0.3,29.8,33,-3.2,2021,"176,265,466.00","44,066,366.50",4,1,11,20.5,18.6,-1.9,1
Paul Millsap,17.3,6.25,11.05,9,4.7,4.3,3.4,0.95,2.45,18.6,8.25,10.35,2021,"2,641,691.00","2,641,691.00",1,0,14,16.5,11.2,-5.3,1
Reggie Jackson,18.5,21.6,-3.1,5,4.6,0.4,5.3,6.1,-0.8,20.2,27.2,-7,2021,"21,599,760.00","10,799,880.00",2,0,10,14.2,12.2,-2,0
Robert Covington,15.9,8.35,7.55,6.8,3.3,3.5,2.5,0.85,1.65,16.5,8.1,8.4,2018,"46,879,127.00","11,719,781.75",4,1,8,13,11,-2,1
Robin Lopez,19,16.6,2.4,8,8.2,-0.2,1.6,3.5,-1.9,16.3,18.4,-2.1,2021,"5,000,000.00","5,000,000.00",1,0,12,16.8,13.7,-3.1,1
Rudy Gay,21.1,17.2,3.9,8.9,9.3,-0.4,2.6,2.2,0.4,22.7,18.7,4,2021,"18,553,500.00","6,184,500.00",3,0,15,14.8,16.1,1.3,1
Rudy Gobert,18.6,19.4,-0.8,17.6,18.3,-0.7,1.6,1.4,0.2,16.4,16.1,0.3,2021,"205,000,002.00","41,000,000.40",5,1,8,23.5,24.8,1.3,0
Russell Westbrook,27.8,25.5,2.3,11,12.3,-1.3,11.3,11.9,-0.6,35.7,33.4,2.3,2018,"206,794,070.00","41,358,814.00",5,1,13,24.7,21.1,-3.6,1
Serge Ibaka,22.8,19,3.8,12.2,11.5,0.7,2.1,3.1,-1,23,19.6,3.4,2020,"18,978,900.00","9,489,450.00",2,0,12,17.4,18.2,0.8,1
Seth Curry,16.6,20.1,-3.5,3.4,3.7,-0.3,1.9,3.1,-1.2,16.4,18.5,-2.1,2019,"32,000,000.00","8,000,000.00",4,1,8,11.4,15.5,4.1,0
Spencer Dinwiddie,12.5,11.15,1.35,8.1,2.2,5.9,5.6,2.75,2.85,16.6,11.15,5.45,2021,"54,000,000.00","18,000,000.00",3,0,7,10.1,13.2,3.1,1
Stephen Curry,30.3,33,-2.7,5.4,6.4,-1,7.9,7.6,0.3,29.5,30,-0.5,2017,"201,158,790.00","40,231,758.00",5,1,12,24.6,28.2,3.6,1
Steven Adams,10.9,10.6,0.3,12.8,15.2,-2.4,2.8,5.1,-2.3,11.9,13.1,-1.2,2021,"35,000,000.00","17,500,000.00",2,0,8,15.1,17.6,2.5,0
T.J. Warren,23.7,22.7,1,6.2,5.1,1.1,1.6,1.9,-0.3,23.3,21.6,1.7,2018,"47,000,000.00","11,750,000.00",4,1,7,17.7,16.4,-1.3,0
Taj Gibson,10.3,9.7,0.6,10.7,9.7,1,1.5,1.4,0.1,9.5,9.8,-0.3,2021,"10,100,000.00","5,050,000.00",2,0,12,16.1,12,-4.1,0
Taurean Prince,16.7,8.5,8.2,8.2,3.15,5.05,2.5,2,0.5,20.1,9.9,10.2,2020,"25,250,000.00","12,625,000.00",2,0,6,9.2,11.8,2.6,0
Terence Davis,10.3,23.2,-12.9,3.05,7,-3.95,1.6,3,-1.4,10.65,24.5,-13.85,2021,"8,000,000.00","4,000,000.00",2,0,2,12.6,14.6,2,1
Terry Rozier,15.8,21,-5.2,6.9,5.1,1.8,5.2,4.8,0.4,19.1,24.2,-5.1,2019,"56,700,000.00","18,900,000.00",3,0,6,12.9,14.9,2,1
Tim Hardaway Jr.,23.4,19.2,4.2,4.6,5,-0.4,2.5,3,-0.5,22.5,21.2,1.3,2021,"75,000,000.00","18,750,000.00",4,1,7,15.7,12.8,-2.9,0
Tobias Harris,10.4,22.9,-12.5,4.5,8,-3.5,1.65,3.7,-2.05,11.45,23.8,-12.35,2019,"180,000,000.00","36,000,000.00",5,1,10,16.9,17.2,0.3,1
Torrey Craig,7.6,6.65,0.95,5.1,4.1,1,1.1,1.15,-0.05,7.5,7.25,0.25,2021,"10,000,000.00","5,000,000.00",2,0,4,12.9,11.1,-1.8,1
Wayne Ellington,17.5,14.2,3.3,3.4,3.8,-0.4,2.6,1.5,1.1,16.4,13.2,3.2,2021,"2,641,691.00","2,641,691.00",1,0,12,8.5,12.3,3.8,1
Will Barton,16.4,18.3,-1.9,5.2,6,-0.8,4.2,4.9,-0.7,19.2,20.7,-1.5,2021,"30,000,000.00","15,000,000.00",2,0,8,11.9,13.4,1.5,0
Zach Collins,10.6,17.4,-6.8,9.5,12.2,-2.7,2.2,4.9,-2.7,12.5,19.5,-7,2021,"22,050,000.00","7,350,000.00",3,0,4,9.92,16.5,6.58,1
Zach LaVine,24.5,27.5,-3,5.7,5.4,0.3,4.4,5.2,-0.8,28.4,30,-1.6,2018,"78,000,000.00","19,500,000.00",4,1,7,14.6,18.7,4.1,1
